pid,name,team,pos,photo,mp,starts,mins,g,a,yc,rc,pen,rating_best,xg,xa,npxg,bc_missed,bc_missed_xg,gk_shots_faced,gk_xgot_faced,gk_goals_conceded,prog_passes,prog_carries,shots,sot,passes,passAcc,keyPasses,touches,tackles,interceptions,aerials,dribbles,fouls,clearances,dispossessed,saves,ga,rating,pass_pct,xg_diff,xa_diff,xgi,npg,fwd_eff,gk_goals_prevented,xt_added_p90
444244,Ramon Terrats,Getafe,MC,https://images.fotmob.com/image_resources/playerimages/1202587.png,5,5,461,1,0,1,0,0,7.8,1.16,0.51,1.16,2,0.67,0,0.0,0,36,3,15,4,136,105,6,243,6,2,6,8,8,7,3,0,1,6.92,77,-0.16,-0.51,1.67,1,0.55,,0.149
381510,Oihan Sancet,Athletic Club,AMC,https://images.fotmob.com/image_resources/playerimages/950545.png,5,5,443,1,0,0,0,0,7.9,1.88,0.87,1.88,2,0.85,0,0.0,0,16,3,15,4,132,105,8,221,4,2,6,11,2,0,13,0,1,6.92,80,-0.88,-0.87,2.75,1,0.37,,0.195
408735,Juan Iglesias,Sevilla,DR,https://images.fotmob.com/image_resources/playerimages/1102289.png,5,5,493,1,0,0,0,0,7.9,0.35,0.09,0.35,0,0.0,0,0.0,0,42,1,4,3,134,91,2,269,16,3,4,3,3,18,2,0,1,6.9,68,0.65,-0.09,0.44,1,2.86,,0.101
44189,Sergio Canales,Racing Santander,AMC,https://images.fotmob.com/image_resources/playerimages/150649.png,5,5,392,1,0,0,0,0,7.6,0.68,0.18,0.68,0,0.0,0,0.0,0,23,1,13,5,175,147,2,258,8,2,2,6,3,2,5,0,1,6.88,84,0.32,-0.18,0.86,1,1.47,,0.0631
437583,Alvaro Carreras,Real Madrid,DL,https://images.fotmob.com/image_resources/playerimages/1190025.png,4,3,214,1,0,1,0,0,8.4,0.42,0.18,0.42,0,0.0,0,0.0,0,35,1,1,1,138,125,5,188,5,1,1,5,1,4,1,0,1,6.88,91,0.58,-0.18,0.6,1,2.38,,0.1715
363966,Adria Pedrosa,Rayo Vallecano,Sub,https://images.fotmob.com/image_resources/playerimages/927646.png,4,3,320,1,0,1,0,0,7.8,0.14,0.56,0.14,0,0.0,0,0.0,0,32,1,4,2,97,78,7,183,9,2,2,6,8,7,3,0,1,6.88,80,0.86,-0.56,0.7,1,7.14,,0.2205
378626,Carl Starfelt,Celta Vigo,Sub,https://images.fotmob.com/image_resources/playerimages/497662.png,3,2,235,1,0,1,0,0,7.6,0.59,0.02,0.59,1,0.27,0,0.0,0,10,0,4,1,194,188,1,231,9,4,5,0,2,10,0,0,1,6.87,97,0.41,-0.02,0.61,1,1.16,,0.0365
507590,Miguel Sierra,Sevilla,AMR,https://images.fotmob.com/image_resources/playerimages/1797904.png,5,5,325,1,0,2,0,0,8.0,0.28,0.19,0.28,0,0.0,0,0.0,0,15,8,8,3,73,54,4,168,10,1,5,11,5,2,8,0,1,6.84,74,0.72,-0.19,0.47,1,3.57,,0.0495
444254,Pablo Ibanez,Deportivo Alaves,MC,https://images.fotmob.com/image_resources/playerimages/1238154.png,6,6,527,1,0,1,0,0,7.7,0.72,0.06,0.72,1,0.31,0,0.0,0,20,0,9,2,177,138,1,271,14,6,5,6,10,8,5,0,1,6.82,78,0.28,-0.06,0.78,1,0.97,,0.0379
424575,Ville Koski,Deportivo Alaves,DC,https://images.fotmob.com/image_resources/playerimages/1056461.png,6,6,562,1,0,0,0,0,7.3,0.65,0.0,0.65,1,0.2,0,0.0,0,13,0,2,2,197,173,0,270,4,6,7,1,8,40,0,0,1,6.8,88,0.35,0.0,0.65,1,1.18,,0.0195
427283,Abde Ezzalzouli,Real Betis,Sub,https://images.fotmob.com/image_resources/playerimages/1209399.png,3,2,160,1,0,0,0,0,7.3,0.52,0.62,0.52,0,0.0,0,0.0,0,22,3,4,2,69,63,5,109,2,0,0,3,2,1,3,0,1,6.77,91,0.48,-0.62,1.14,1,1.92,,0.4575
132962,Thomas Lemar,Elche,Sub,https://images.fotmob.com/image_resources/playerimages/468931.png,3,0,109,1,0,1,0,0,7.6,0.14,0.28,0.14,0,0.0,0,0.0,0,21,1,3,1,70,65,2,96,7,1,0,1,5,2,0,0,1,6.77,93,0.86,-0.28,0.42,1,7.14,,0.1247
389020,Georges Mikautadze,Villarreal,FW,https://images.fotmob.com/image_resources/playerimages/1117069.png,6,4,412,1,0,0,0,1,7.5,2.84,0.98,2.04,3,1.26,0,0.0,0,21,4,17,8,133,111,7,220,4,1,0,11,3,2,7,0,1,6.75,83,-1.84,-0.98,3.82,0,0.0,,0.1427
422961,Andres Martin,Racing Santander,AMR,,3,3,247,1,0,0,0,1,7.5,2.31,0.46,0.72,2,1.14,0,0.0,0,27,1,9,3,80,61,6,152,10,3,0,5,3,1,2,0,1,6.73,76,-1.31,-0.46,2.77,0,0.0,,0.2188
461527,Carlos Dotor,Malaga,MC,https://images.fotmob.com/image_resources/playerimages/1209421.png,5,5,376,1,0,0,0,0,7.1,0.21,0.19,0.21,0,0.0,0,0.0,0,29,0,3,2,207,176,4,255,12,3,2,3,6,3,5,0,1,6.66,85,0.79,-0.19,0.4,1,4.76,,0.0314
407567,Ivan Romero,Levante,FW,https://images.fotmob.com/image_resources/playerimages/1209441.png,5,4,320,1,0,1,0,0,7.2,2.4,0.15,2.4,4,1.42,0,0.0,0,9,4,15,6,53,40,3,126,9,0,4,5,3,1,5,0,1,6.66,75,-1.4,-0.15,2.55,1,0.26,,0.046
448211,Alberto Moleiro,Villarreal,ML,https://images.fotmob.com/image_resources/playerimages/1184694.png,6,4,326,1,0,0,0,0,7.7,1.03,1.16,1.03,1,0.31,0,0.0,0,57,2,7,4,177,155,8,245,7,0,0,4,2,1,4,0,1,6.65,88,-0.03,-1.16,2.19,1,0.75,,0.0852
299451,Ademola Lookman,Atletico Madrid,FW,https://images.fotmob.com/image_resources/playerimages/690516.png,6,6,440,1,0,1,0,0,7.9,1.04,0.55,1.04,3,0.68,0,0.0,0,33,1,10,3,129,106,10,200,6,0,0,4,7,0,8,0,1,6.62,82,-0.04,-0.55,1.59,1,0.58,,-0.0297
408449,Nico Williams,Athletic Club,AML,,5,3,288,1,0,0,0,0,7.6,0.95,0.9,0.95,1,0.33,0,0.0,0,41,4,9,2,93,68,4,172,9,2,1,5,1,4,3,0,1,6.62,73,0.05,-0.9,1.85,1,0.78,,0.3939
